category,file,width_px,height_px,transparent,design_viewport
01_KPI_Cards,01_Total_AI_Requests.png,1916,821,yes,1368x753
01_KPI_Cards,02_Active_Providers.png,1916,821,yes,1368x753
01_KPI_Cards,03_Avg_Latency.png,1916,821,yes,1368x753
01_KPI_Cards,04_Blocked_Threats.png,1916,821,yes,1368x753
01_KPI_Cards,05_Runtime_Memory.png,1916,821,yes,1368x753
01_KPI_Cards,06_Network_Health.png,1916,821,yes,1368x753
02_Topology_Feature_Cards,01_WAF.png,2172,724,yes,1368x753
02_Topology_Feature_Cards,02_Zero_Trust.png,2172,724,yes,1368x753
02_Topology_Feature_Cards,03_Policy_Engine.png,2172,724,yes,1368x753
02_Topology_Feature_Cards,04_AI_Firewall.png,2172,724,yes,1368x753
02_Topology_Feature_Cards,05_Cache.png,2172,724,yes,1368x753
02_Topology_Feature_Cards,06_Analytics.png,2172,724,yes,1368x753
02_Topology_Feature_Cards,07_Traffic_Optimization.png,2172,724,yes,1368x753
03_Provider_Cards,01_OpenAI_GPT_4o.png,1448,1086,yes,1368x753
03_Provider_Cards,02_Anthropic_Claude.png,1448,1086,yes,1368x753
03_Provider_Cards,03_Google_Gemini.png,1448,1086,yes,1368x753
03_Provider_Cards,04_DeepSeek_R1.png,1448,1086,yes,1368x753
03_Provider_Cards,05_Mistral_Large.png,1448,1086,yes,1368x753
03_Provider_Cards,06_LlamaMeta_Llama_3_1_70B.png,1448,1086,yes,1368x753
04_Application_Source_Cards,01_Web_Apps.png,1448,1086,yes,1368x753
04_Application_Source_Cards,02_Mobile_Apps.png,1448,1086,yes,1368x753
04_Application_Source_Cards,03_Internal_Tools.png,1448,1086,yes,1368x753
04_Application_Source_Cards,04_Partner_APIs.png,1448,1086,yes,1368x753
05_Sidebar_Items,01_Dashboard.png,2172,724,yes,1368x753
05_Sidebar_Items,02_AI_Topology.png,2172,724,yes,1368x753
05_Sidebar_Items,03_Providers.png,2172,724,yes,1368x753
05_Sidebar_Items,04_Models.png,2172,724,yes,1368x753
05_Sidebar_Items,05_Routing_Rules.png,2172,724,yes,1368x753
05_Sidebar_Items,06_API_Keys.png,2172,724,yes,1368x753
05_Sidebar_Items,07_Security_Policies.png,2172,724,yes,1368x753
05_Sidebar_Items,08_AI_Firewall.png,2172,724,yes,1368x753
05_Sidebar_Items,09_Logs.png,2172,724,yes,1368x753
05_Sidebar_Items,10_Metrics.png,2172,724,yes,1368x753
05_Sidebar_Items,11_Traces.png,2172,724,yes,1368x753
05_Sidebar_Items,12_Analytics.png,2172,724,yes,1368x753
05_Sidebar_Items,13_Alerts.png,2172,724,yes,1368x753
05_Sidebar_Items,14_Settings.png,2172,724,yes,1368x753
06_Hero_Components,01_Cloudflare_AI_Router_Orb.png,1254,1254,yes,1368x753
06_Hero_Components,02_Global_Edge_Traffic_Card.png,1672,941,yes,1368x753
